number,asset_id,family,theme,label_en,label_rw_draft,label_fr_draft,collection_types,context,search_terms,batch,source_path,cover_path,thumbnail_path,status
11,rw-11-wedding-attire-preparation,weddings,wedding_attire,Preparing wedding attire,Gutegura imyambaro y’ubukwe,Préparer les tenues de mariage,wedding,,ubukwe|umushanana|imishanana|bridal party|attire|tenues,3,assets/group_covers/rwanda/source/rw-11-wedding-attire-preparation-v2.png,assets/group_covers/rwanda/covers/rw-11-wedding-attire-preparation-v2.webp,assets/group_covers/rwanda/thumbs/rw-11-wedding-attire-preparation-v2.webp,generated_candidate
12,rw-12-wedding-reception-table,weddings,wedding_reception,A reception taking shape,Gutegura aho kwakirira abashyitsi,Préparer la réception,wedding,,reception|kwiyakira|ubukwe|catering|réception,3,assets/group_covers/rwanda/source/rw-12-wedding-reception-table-v2.png,assets/group_covers/rwanda/covers/rw-12-wedding-reception-table-v2.webp,assets/group_covers/rwanda/thumbs/rw-12-wedding-reception-table-v2.webp,generated_candidate
13,rw-13-new-home-wedding-gift,weddings,wedding_gift,A gift for the new home,Impano y’urugo rushya,Un cadeau pour le nouveau foyer,wedding|other,,gift|impano|wedding gifts|urugo|cadeau|foyer,3,assets/group_covers/rwanda/source/rw-13-new-home-wedding-gift-v2.png,assets/group_covers/rwanda/covers/rw-13-new-home-wedding-gift-v2.webp,assets/group_covers/rwanda/thumbs/rw-13-new-home-wedding-gift-v2.webp,generated_candidate
14,rw-14-wedding-day-family,weddings,wedding_day,Family on the wedding day,Umuryango ku munsi w’ubukwe,La famille le jour du mariage,wedding,,wedding day|ubukwe|couple|family|mariage|famille,3,assets/group_covers/rwanda/source/rw-14-wedding-day-family-v2.png,assets/group_covers/rwanda/covers/rw-14-wedding-day-family-v2.webp,assets/group_covers/rwanda/thumbs/rw-14-wedding-day-family-v2.webp,generated_candidate
15,rw-15-church-community-offering,faith_giving,christian_offering,Church community giving,Amaturo y’umuryango w’itorero,Offrandes de la communauté chrétienne,church,christian,church|itorero|kiliziya|amaturo|offering|tithe|ituro|dîme,1,assets/group_covers/rwanda/source/rw-15-church-community-offering-v1.png,assets/group_covers/rwanda/covers/rw-15-church-community-offering-v1.webp,assets/group_covers/rwanda/thumbs/rw-15-church-community-offering-v1.webp,generated_candidate
16,rw-16-church-building-project,faith_giving,church_project,A shared church project,Umushinga wo kubaka urusengero,Un projet commun pour l’église,church,christian,church project|urusengero|kiliziya|project support|église|construction,3,assets/group_covers/rwanda/source/rw-16-church-building-project-v1.png,assets/group_covers/rwanda/covers/rw-16-church-building-project-v1.webp,assets/group_covers/rwanda/thumbs/rw-16-church-building-project-v1.webp,generated_candidate
17,rw-17-choir-shared-equipment,faith_giving,choir_support,Supporting the choir,Gushyigikira korali,Soutenir la chorale,church,christian,choir|korali|music|equipment|chorale|musique,3,assets/group_covers/rwanda/source/rw-17-choir-shared-equipment-v1.png,assets/group_covers/rwanda/covers/rw-17-choir-shared-equipment-v1.webp,assets/group_covers/rwanda/thumbs/rw-17-choir-shared-equipment-v1.webp,generated_candidate
18,rw-18-muslim-community-giving,faith_giving,muslim_giving,Muslim community giving,Gufashanya mu muryango w’Abayisilamu,Entraide de la communauté musulmane,other,muslim,muslim|mosque|umusigiti|zakat|sadaqah|sadaqa|entraide,1,assets/group_covers/rwanda/source/rw-18-muslim-community-giving-v1.png,assets/group_covers/rwanda/covers/rw-18-muslim-community-giving-v1.webp,assets/group_covers/rwanda/thumbs/rw-18-muslim-community-giving-v1.webp,generated_candidate
19,rw-19-ramadan-community-meal,faith_giving,ramadan_meal,Preparing a Ramadan meal,Gutegura ifunguro rya Ramazani,Préparer un repas de Ramadan,other,muslim,ramadan|ramazani|iftar|meal|muslim|repas,3,assets/group_covers/rwanda/source/rw-19-ramadan-community-meal-v1.png,assets/group_covers/rwanda/covers/rw-19-ramadan-community-meal-v1.webp,assets/group_covers/rwanda/thumbs/rw-19-ramadan-community-meal-v1.webp,generated_candidate
20,rw-20-community-giving-parcels,faith_giving,community_giving,Community giving together,Gufashanya mu muryango,Agir ensemble pour la communauté,church|other,,giving|gufasha|ubufatanye|charity|outreach|solidarité|don,3,assets/group_covers/rwanda/source/rw-20-community-giving-parcels-v1.png,assets/group_covers/rwanda/covers/rw-20-community-giving-parcels-v1.webp,assets/group_covers/rwanda/thumbs/rw-20-community-giving-parcels-v1.webp,generated_candidate
21,rw-21-bereavement-support,family_solidarity,bereavement_support,Support in bereavement,Gufasha abagize ibyago,Soutien lors d’un deuil,other,bereavement,bereavement|funeral|deuil|funérailles|gutabara|ibyago|gushyingura,1,assets/group_covers/rwanda/source/rw-21-bereavement-support-v1.png,assets/group_covers/rwanda/covers/rw-21-bereavement-support-v1.webp,assets/group_covers/rwanda/thumbs/rw-21-bereavement-support-v1.webp,generated_candidate
22,rw-22-medical-care-support,family_solidarity,medical_support,Helping someone reach care,Gufasha umuntu kwivuza,Aider un proche à accéder aux soins,other,health,medical|health|kwivuza|ubuvuzi|transport|soins|santé,4,assets/group_covers/rwanda/source/rw-22-medical-care-support-v1.png,assets/group_covers/rwanda/covers/rw-22-medical-care-support-v1.webp,assets/group_covers/rwanda/thumbs/rw-22-medical-care-support-v1.webp,generated_candidate
23,rw-23-health-cover-contribution,family_solidarity,mutuelle_support,Contributing toward health cover,Gufatanya kwishyura mituweli,Contribuer à la couverture santé,other,health,mutuelle|mituweli|cbhi|health cover|cotisation|santé,4,assets/group_covers/rwanda/source/rw-23-health-cover-contribution-v1.png,assets/group_covers/rwanda/covers/rw-23-health-cover-contribution-v1.webp,assets/group_covers/rwanda/thumbs/rw-23-health-cover-contribution-v1.webp,generated_candidate
24,rw-24-neighbours-recovery-support,family_solidarity,household_recovery,Neighbours helping a household recover,Abaturanyi bafasha umuryango,Des voisins aident une famille à se relever,other,,recovery|emergency support|gutabara|ibiza|repair|solidarité|réparation,4,assets/group_covers/rwanda/source/rw-24-neighbours-recovery-support-v1.png,assets/group_covers/rwanda/covers/rw-24-neighbours-recovery-support-v1.webp,assets/group_covers/rwanda/thumbs/rw-24-neighbours-recovery-support-v1.webp,generated_candidate
25,rw-25-family-everyday-support,family_solidarity,family_support,Family support across generations,Gufashanya mu muryango,L’entraide entre générations,ikimina|other,,family|umuryango|relatives|parents|famille|entraide,4,assets/group_covers/rwanda/source/rw-25-family-everyday-support-v1.png,assets/group_covers/rwanda/covers/rw-25-family-everyday-support-v1.webp,assets/group_covers/rwanda/thumbs/rw-25-family-everyday-support-v1.webp,generated_candidate
26,rw-26-welcoming-new-baby,family_solidarity,new_baby_support,Welcoming a new family member,Kwakira umwana mu muryango,Accueillir un nouveau membre de la famille,other,new_baby,baby|newborn|kwita izina|umwana|family gift|naissance|bébé,4,assets/group_covers/rwanda/source/rw-26-welcoming-new-baby-v1.png,assets/group_covers/rwanda/covers/rw-26-welcoming-new-baby-v1.webp,assets/group_covers/rwanda/thumbs/rw-26-welcoming-new-baby-v1.webp,generated_candidate
27,rw-27-school-supplies,education,school_supplies,Preparing for school,Gutegura ibikoresho by’ishuri,Préparer la rentrée scolaire,other|ikimina,,school|ishuri|amashuri|ibikoresho|fees|rentrée|fournitures|scolarité,1,assets/group_covers/rwanda/source/rw-27-school-supplies-v1.png,assets/group_covers/rwanda/covers/rw-27-school-supplies-v1.webp,assets/group_covers/rwanda/thumbs/rw-27-school-supplies-v1.webp,generated_candidate
28,rw-28-school-meal-support,education,school_meals,Supporting school meals,Gushyigikira ifunguro ku ishuri,Soutenir les repas scolaires,other,,school meals|ifunguro|ishuri|ibiryo|cantine|nutrition|repas,4,assets/group_covers/rwanda/source/rw-28-school-meal-support-v1.png,assets/group_covers/rwanda/covers/rw-28-school-meal-support-v1.webp,assets/group_covers/rwanda/thumbs/rw-28-school-meal-support-v1.webp,generated_candidate
29,rw-29-higher-study-support,education,higher_education,Supporting the next stage of study,Gushyigikira amashuri makuru,Soutenir la poursuite des études,other|ikimina,,university|kaminuza|scholarship|amashuri|study|bourse|études,4,assets/group_covers/rwanda/source/rw-29-higher-study-support-v1.png,assets/group_covers/rwanda/covers/rw-29-higher-study-support-v1.webp,assets/group_covers/rwanda/thumbs/rw-29-higher-study-support-v1.webp,generated_candidate
30,rw-30-youth-skills-training,education,skills_training,Learning practical skills,Kwiga imyuga,Apprendre un métier,other|ikimina,,skills|training|imyuga|urubyiruko|TVET|formation|métier,4,assets/group_covers/rwanda/source/rw-30-youth-skills-training-v1.png,assets/group_covers/rwanda/covers/rw-30-youth-skills-training-v1.webp,assets/group_covers/rwanda/thumbs/rw-30-youth-skills-training-v1.webp,generated_candidate
31,rw-31-umuganda-project-tools,community_projects,umuganda_project,Preparing a community work project,Gutegura umuganda,Préparer un chantier communautaire,other|ikimina,,umuganda|community work|tools|abaturanyi|travaux|communauté,5,assets/group_covers/rwanda/source/rw-31-umuganda-project-tools-v1.png,assets/group_covers/rwanda/covers/rw-31-umuganda-project-tools-v1.webp,assets/group_covers/rwanda/thumbs/rw-31-umuganda-project-tools-v1.webp,generated_candidate
32,rw-32-shared-water-point,community_projects,water_project,A shared water improvement,Guteza imbere amazi meza,Améliorer un point d’eau partagé,other,,water|amazi|tap|repair|eau|robinet|projet,5,assets/group_covers/rwanda/source/rw-32-shared-water-point-v1.png,assets/group_covers/rwanda/covers/rw-32-shared-water-point-v1.webp,assets/group_covers/rwanda/thumbs/rw-32-shared-water-point-v1.webp,generated_candidate
33,rw-33-community-hall-improvement,community_projects,shared_space,Improving a shared hall,Gutunganya inzu y’umuryango,Améliorer la salle commune,other,,hall|community space|shared building|abaturanyi|salle|communauté,5,assets/group_covers/rwanda/source/rw-33-community-hall-improvement-v1.png,assets/group_covers/rwanda/covers/rw-33-community-hall-improvement-v1.webp,assets/group_covers/rwanda/thumbs/rw-33-community-hall-improvement-v1.webp,generated_candidate
34,rw-34-tree-planting-neighbours,community_projects,tree_planting,Growing a greener neighbourhood,Gutera ibiti mu baturanyi,Planter pour le quartier,other|ikimina,,trees|ibiti|environment|ibidukikije|umuganda|arbres|environnement,5,assets/group_covers/rwanda/source/rw-34-tree-planting-neighbours-v1.png,assets/group_covers/rwanda/covers/rw-34-tree-planting-neighbours-v1.webp,assets/group_covers/rwanda/thumbs/rw-34-tree-planting-neighbours-v1.webp,generated_candidate
35,rw-35-football-fan-community,sport_culture,fan_support,Supporting the team together,Gushyigikira ikipe hamwe,Soutenir l’équipe ensemble,sport,,football|fans|abafana|umupira|ikipe|supporters|sport,1,assets/group_covers/rwanda/source/rw-35-football-fan-community-v1.png,assets/group_covers/rwanda/covers/rw-35-football-fan-community-v1.webp,assets/group_covers/rwanda/thumbs/rw-35-football-fan-community-v1.webp,generated_candidate
36,rw-36-local-team-equipment,sport_culture,team_equipment,Kit for a local team,Ibikoresho by’ikipe,Du matériel pour l’équipe locale,sport,,team|equipment|ikipe|ibikoresho|football|ball|équipement,5,assets/group_covers/rwanda/source/rw-36-local-team-equipment-v1.png,assets/group_covers/rwanda/covers/rw-36-local-team-equipment-v1.webp,assets/group_covers/rwanda/thumbs/rw-36-local-team-equipment-v1.webp,generated_candidate
37,rw-37-away-match-travel,sport_culture,away_travel,Travelling together for the match,Urugendo rwo gushyigikira ikipe,Voyager ensemble pour le match,sport,,away travel|transport|urugendo|abafana|match|déplacement,5,assets/group_covers/rwanda/source/rw-37-away-match-travel-v1.png,assets/group_covers/rwanda/covers/rw-37-away-match-travel-v1.webp,assets/group_covers/rwanda/thumbs/rw-37-away-match-travel-v1.webp,generated_candidate
38,rw-38-cultural-troupe-rehearsal,sport_culture,cultural_troupe,Supporting music and dance,Gushyigikira umuziki n’imbyino,Soutenir la musique et la danse,other,,culture|umuco|dance|imbyino|music|umuziki|troupe|danse,5,assets/group_covers/rwanda/source/rw-38-cultural-troupe-rehearsal-v1.png,assets/group_covers/rwanda/covers/rw-38-cultural-troupe-rehearsal-v1.webp,assets/group_covers/rwanda/thumbs/rw-38-cultural-troupe-rehearsal-v1.webp,generated_candidate
39,rw-39-diaspora-family-connection,diaspora,diaspora_family,Family contributing from abroad,Umuryango uri mu mahanga,La famille contribue depuis l’étranger,ikimina|wedding|other,,diaspora|abroad|amahanga|family|umuryango|étranger|famille,1,assets/group_covers/rwanda/source/rw-39-diaspora-family-connection-v1.png,assets/group_covers/rwanda/covers/rw-39-diaspora-family-connection-v1.webp,assets/group_covers/rwanda/thumbs/rw-39-diaspora-family-connection-v1.webp,generated_candidate
40,rw-40-diaspora-community-project,diaspora,diaspora_project,A community connected to home,Abanyarwanda mu mahanga bafatanya,Une communauté liée au Rwanda,other|ikimina,,diaspora|association|amahanga|project|community|communauté|projet,5,assets/group_covers/rwanda/source/rw-40-diaspora-community-project-v1.png,assets/group_covers/rwanda/covers/rw-40-diaspora-community-project-v1.webp,assets/group_covers/rwanda/thumbs/rw-40-diaspora-community-project-v1.webp,generated_candidate
41,rw-41-buri-munsi,savings_livelihoods,buri_munsi,Buri munsi,Buri munsi,Buri munsi,ikimina,,Buri munsi|Buri munsi|Buri munsi|buri munsi|contribute|umusanzu,6,assets/group_covers/rwanda/source/rw-41-buri-munsi-v1.png,assets/group_covers/rwanda/covers/rw-41-buri-munsi-v1.webp,assets/group_covers/rwanda/thumbs/rw-41-buri-munsi-v1.webp,generated_candidate
42,rw-42-gikundiro,sport_culture,gikundiro,Gikundiro,Gikundiro,Gikundiro,sport,,Gikundiro|Gikundiro|Gikundiro|gikundiro|contribute|umusanzu|Rayon|Rayon Sports|abafana|club,6,assets/group_covers/rwanda/source/rw-42-gikundiro-v1.png,assets/group_covers/rwanda/covers/rw-42-gikundiro-v1.webp,assets/group_covers/rwanda/thumbs/rw-42-gikundiro-v1.webp,generated_candidate
43,rw-43-church-congregation,faith_giving,church_congregation,Church community together,Umuryango w’itorero,La communauté chrétienne,church,christian,Church community together|Umuryango w’itorero|La communauté chrétienne|church congregation|contribute|umusanzu,6,assets/group_covers/rwanda/source/rw-43-church-congregation-v1.png,assets/group_covers/rwanda/covers/rw-43-church-congregation-v1.webp,assets/group_covers/rwanda/thumbs/rw-43-church-congregation-v1.webp,generated_candidate
44,rw-44-football-fans-matchday,sport_culture,football_matchday,Football fans together,Abafana bishyize hamwe,Les supporters réunis,sport,,Football fans together|Abafana bishyize hamwe|Les supporters réunis|football matchday|contribute|umusanzu,6,assets/group_covers/rwanda/source/rw-44-football-fans-matchday-v1.png,assets/group_covers/rwanda/covers/rw-44-football-fans-matchday-v1.webp,assets/group_covers/rwanda/thumbs/rw-44-football-fans-matchday-v1.webp,generated_candidate
